Timestamp,Hennings
2013-01-11T00:00:00-08:00 Los_Angeles,144.46010645230615kW
2013-01-12T00:00:00-08:00 Los_Angeles,115.3854398727417kW
2013-01-13T00:00:00-08:00 Los_Angeles,116.95472280184426kW
2013-01-14T00:00:00-08:00 Los_Angeles,154.8998750845591kW
2013-01-15T00:00:00-08:00 Los_Angeles,153.83770132064822kW
2013-01-16T00:00:00-08:00 Los_Angeles,163.80169121424353kW
2013-01-17T00:00:00-08:00 Los_Angeles,163.71229585011807kW
2013-01-18T00:00:00-08:00 Los_Angeles,154.62097406387335kW
2013-01-19T00:00:00-08:00 Los_Angeles,125.95902609825133kW
2013-01-20T00:00:00-08:00 Los_Angeles,125.08093245824183kW
2013-01-21T00:00:00-08:00 Los_Angeles,160.83081277211508kW
2013-01-22T00:00:00-08:00 Los_Angeles,161.86122020085654kW
2013-01-23T00:00:00-08:00 Los_Angeles,159.54193369547534kW
2013-01-24T00:00:00-08:00 Los_Angeles,159.7063161532084kW
2013-01-25T00:00:00-08:00 Los_Angeles,151.15914503733313kW
2013-01-26T00:00:00-08:00 Los_Angeles,125.06588045756018kW
2013-01-27T00:00:00-08:00 Los_Angeles,123.21961617469788kW
2013-01-28T00:00:00-08:00 Los_Angeles,160.52936220169065kW
2013-01-29T00:00:00-08:00 Los_Angeles,159.20740803082785kW
2013-01-30T00:00:00-08:00 Los_Angeles,159.18921955426532kW
2013-01-31T00:00:00-08:00 Los_Angeles,158.21489103635156kW
2013-02-01T00:00:00-08:00 Los_Angeles,152.1736786365509kW
